violet_stone_count,bauxite_kg
70,5.632358330751658
111,6.842396268788313
66,5.564732800945692
75,6.019145462783413
10,2.5651089446731135
119,6.894790990804059
85,6.114886604699118
91,6.626575401520911
55,4.941994665855716
70,6.057969094573801
59,5.167556363126565
109,7.504182051619942
144,9.316506774305381
49,4.71163182144152
117,7.620720186673993
55,5.32157158835734
136,9.18441307188153
78,5.64958907938536
55,5.020733848483033
13,3.562554816027109
39,4.211222774365491
51,4.482708966520769
3,1.8270012619857245
25,2.205559590762922
85,7.038573825251758
86,6.974035795020418
20,2.9646370450242725
37,4.427354686348194
28,3.250605976338827
146,9.226475584417056
17,1.9937396549920878
20,2.4972846825864137
24,3.019064843401641
83,5.842867111310677
55,4.96667436516813
125,8.331710391781968
131,8.265094997587715
63,5.221968046391113
98,6.176766160629458
116,8.256254596827562
76,5.6485984993649465
20,2.374364278407361
63,5.199842366891516
110,7.7123091799531265
73,5.951660903355035
91,6.102863606490496
123,8.255088377725485
80,7.136410062341351
35,3.5930277023418165
19,3.2981884126014958
97,6.995011263173974
76,5.618232555376789
147,9.789995712170247
148,9.201235038984573
148,8.83337083607907
138,8.161049406201037
125,8.312235420190815
61,4.652905246534679
92,6.547294970556517
2,1.7280020198608619
140,9.240001054773751
56,4.545242610867242
76,6.2703851365611945
48,4.023905284377764
82,6.499912957289197
100,6.162487469716386
96,6.590140994875542
142,8.811522727250086
115,8.538253578223978
81,5.774870763266346
143,9.351898362289326
47,3.5840388611603236
113,6.761350072542388
140,9.384651753911367
113,8.013923033780106
143,9.82666046219085
97,6.510613872656121
117,7.801138652242664
32,3.753420804709781
142,9.832522174298076
45,4.436479544790279
61,5.376447637852844
115,7.6193679441684
149,9.404358528588293
64,5.136523414713357
49,4.447831610129114
16,2.6245191487716117
80,6.620320979692013
22,3.5534987669849616
135,9.05744416302202
74,5.456317532604976
2,2.003601949952037
119,7.607742979831931
17,3.8421757718596274
66,5.684046416428928
56,4.5339412909852825
21,3.6577058267826317
97,7.41844716899614
128,8.494814922796822
45,3.758895109646512
